date,time,longitude,latitude,attack_type,nearest_country,shore_distance,attack_description,vessel_name,vessel_type
1994-08-31,,104.679,1.5505,Boarded,IDN,37.74056299,,C. Tahsin,
1994-09-09,,113.4667,18.3666667,Attempted,CHN,198.942011,,Lyki,
1994-09-12,,106.8833,20.64,Boarded,VNM,9.072476433,,Mekong Spring,
1994-09-17,,114.1558,22.3193333,Boarded,CHN,0.5009985637,,Maritime Omi,
1994-09-27,,119.0833,19.1333333,Attempted,PHL,171.4002877,,Chitra,
1994-10-10,,-4,5.2931667,Boarded,CIV,1.268660948,,Nordic Bulker,
1994-10-16,,155.9033,-6.2583333,Attempted,PNG,15.42236189,,Club Med II,
1994-10-20,,-80.0867,-2.52,Boarded,ECU,4.446084967,,Sea Wind,
1994-10-21,,112.7235,-7.2038333,Boarded,IDN,1.955988514,,Estebrugge,
1994-10-25,,114.1217,22.16,Boarded,CHN,2.196548724,,United Ambition,
1994-10-25,,112.7235,-7.2038333,Boarded,IDN,1.955988514,,Reestborg,
1994-10-27,,107.3,-3,Boarded,IDN,12.89001061,,Windward,
1994-11-03,,106.8867,-6.0338333,Boarded,IDN,9.348946503,,Melgar,
1994-11-04,,-80.0867,-2.52,Boarded,ECU,4.446084967,,Sea Wave,
1994-11-14,,107.2917,-3.025,Boarded,IDN,15.24744201,,Dove Arrow,
1994-11-15,,104.5833,1.4,Boarded,IDN,19.3238956,,Yaya,
1994-11-21,,106.8833,-5.9731667,Attempted,IDN,13.24579241,,Fortunate Star,
1994-11-22,,107.3,-2.8666667,Boarded,IDN,5.105025692,,Essverger Pioneer,
1994-11-23,,107.2833,-2.9333333,Boarded,IDN,8.24492587,,Continental Spirit,
1994-11-26,,119.7267,16.5533333,Attempted,PHL,22.51419079,,Audacious,
1994-11-26,,-79.9983,-2.3567,Boarded,ECU,0.3540742048,,Caria,
1994-11-27,,125.2833,33.7,Attempted,KOR,40.8694705,,Sea Bird,
1994-11-27,,-46.3517,-24.0133333,Boarded,BRA,2.089366547,,Ocean Competence,
1994-11-30,,53.8958,29.8115,Hijacked,IRN,279.2807953,,Dunay,
1994-11-30,,53.8958,29.8115,Hijacked,IRN,279.2807953,,Ellam,
1994-11-30,,90.0183,21.9721,Hijacked,BGD,2.044335111,,Allya,
1994-11-30,,53.8958,29.8115,Hijacked,IRN,279.2807953,,Nilkamtha,
1994-11-30,,53.8958,29.8115,Hijacked,IRN,279.2807953,,Sree Vishnu,
1994-12-06,,107.2667,-2.8666667,Boarded,IDN,8.588474176,,Eagle Tide,
1994-12-09,,118.115,5.8233333,Boarded,MYS,2.110891726,,Nanyo,
1994-12-28,,106.8867,-6.0338333,Boarded,IDN,9.348946503,,Anro Australia,
1995-01-05,,112.6867,-7.1766667,Boarding,IDN,0.3706378198,,Bunga Kerayong,
1995-01-07,,122.185,37.4386667,Boarding,CHN,1.329001911,,Kafu Maru,
1995-01-08,,98.6767,3.7766667,Boarding,IDN,4.815190419,,Troianu,
1995-01-10,,131.8833,43.11666667,Boarding,RUS,2.324696496,,Alaksey Chuyer,
1995-01-18,,98.7983,3.98,Boarding,IDN,15.32967371,,Captain George II,
1995-01-21,,120.0867,18.425,Attempted,PHL,50.42774059,,Ocean Glory,
1995-01-23,,118.105,5.8133333,Boarding,MYS,1.561216093,,Norbulk Pine,
1995-01-23,,120.8167,16.6,Attempted,PHL,53.81577141,,Golden Alpha,
1995-01-26,,39.3533,-6.775,Boarding,TZA,5.977859498,,Pegasus,
1995-01-28,,52.0142,26.8085,Hijacked,IRN,83.84692291,,Shaiboub,
1995-01-31,,106.875,-6.0886667,Boarding,IDN,4.407541808,,Darya Chand,
1995-02-03,,98.6767,3.7766667,Boarding,IDN,4.815190419,,Kapetan Elias,
1995-02-04,,116.7967,-1.2766667,Boarding,IDN,1.987233016,,Bunga Kerayong,
1995-02-11,,-43.1667,-22.8933333,Boarding,BRA,0.5391398523,,Regina,
1995-02-15,,108.5833,7.3,Boarding,VNM,262.8457714,,Lucky Trader No. 1,
1995-02-21,,105.9467,-6.0083333,Boarding,IDN,1.563034483,,LPG Norgas Traveller,
1995-02-23,,117.4167,23.2,Attempted,CHN,36.80991688,,Hanjin Kunsan,
1995-02-26,,-79.9167,9.35,Boarding,PAN,1.839919215,,Shansi,
1995-02-28,,43.6167,11.5833333,Attempted,SOM,26.34617802,,Nourberg Mofarrij,
1995-02-28,,52.0142,26.8085,Hijacked,IRN,83.84692291,,Capriolo,
1995-03-04,,119.03,19.675,Attempted,PHL,207.6882552,,ACX Iris,
1995-03-07,,-43.1667,-22.8933333,Boarding,BRA,0.5391398523,,San Miguel,
1995-03-07,,114.2,22.2666667,Hijacked,CHN,2.477473174,,Xiamen Bridge,
1995-03-07,,106.15,-6.0666667,Boarding,IDN,6.399349131,,Bunga Melor Satu,
1995-03-07,,-43.2,-22.9,Boarding,BRA,3.093283939,,Marwan,
1995-03-08,,117.85,21.7166667,Boarding,CHN,194.4898552,,Ling Xian,
1995-03-15,,3.4539,37.195,Boarding,DZA,42.3382843,,Biban,
1995-03-15,,29.9667,41.0166667,Boarding,TUR,16.23387589,,Ayvazovskly,
1995-03-15,,113.8571,21.8865,Hijacked,CHN,13.06400514,,Wing Lee No. 3,
1995-03-23,,117.2833,-1,Boarding,IDN,9.92311808,,Navigatore - D,
1995-03-25,,112.7,-7.1833333,Boarding,IDN,2.013058366,,Reestborg,
1995-04-01,,112.0667,-7.1456667,Boarding,IDN,26.3496598,,Calatang,
1995-04-02,,107.35,-2.7,Attempted,IDN,17.16348096,,Konkar Pioneer,
1995-04-03,,50.81,12.145,Boarding,SOM,17.29458699,,Full City,
1995-04-05,,113.445,16.2183333,Attempted,CHN,90.06288579,,Amer Prabha,
1995-04-05,,48.4136,4.9115,Attempted,SOM,20.83466191,,Longo Barda,
1995-04-09,,52.0142,26.8085,Boarding,IRN,83.84692291,,Sea Wolf 102,
1995-04-09,,120.82,18.7616667,Attempted,PHL,12.89720573,,Nikolay Kuznetsov,
1995-04-11,,121.625,19.715,Attempted,PHL,33.45507754,,LNG Rheingas,
